Institution Name,Mnemonic,Country,State_Province
Akron Zoological Park,AKRON,United States,Ohio
Miller Park Zoo,BLOOMINGT,"United
States",Illinois
Chicago Zoological Park / Brookfield Zoo,CHICAGOBR,United States,Illinois
"Lincoln Park Zoological
Gardens",CHICAGOLP,"United
States",Illinois
Cincinnati Zoo & Botanical Garden,CINCINNAT,United States,Ohio
"Cleveland Metroparks
Zoo",CLEVELAND,"United
States",Ohio
Columbus Zoo and Aquarium,COLUMBUS,United States,Ohio
Lake Superior Zoological Gardens,DULUTH,United States,Minnesota
El Paso Zoo,EL PASO,United States,Texas
Mesker Park Zoo,EVANSVLLE,"United
States",Indiana
Lee Richardson Zoo,GARDENCT Y,United States,Kansas
"Little Rock Zoological
Gardens",LITTLEROC,"United
States",Arkansas
Memphis Zoological Garden & Aquarium,MEMPHIS,United States,Tennessee
"Aquarium & Rainforest at
Moody Gardens",MOODY,"United
States",Texas
Bronx Zoo/Wildlife Conservation Society,NY BRONX,United States,New York
"Omaha's Henry Doorly
Zoo",OMAHA,"United
States",Nebraska
Philadelphia Zoo,PHILADELP,United States,Pennsylvania
Prospect Park Zoo,"PROSPECT
P","United
States",New York
Pueblo Zoo,PUEBLO,United States,Colorado
Albuquerque Biological Park,ABQBIOPK,United States,New Mexico
Akron Zoological Park,AKRON,"United
States",Ohio
Capron Park Zoo,ATTLEBORO,United States,Massachusetts
Audubon Zoo,AUDUBON,United States,Louisianna
Dusit (Bangkok) Zoological Park,BANGKOK,Thailand,Thailand
Miller Park Zoo,BLOOMINGT,"United
States",Illinois
Bowmanville Zoological Park,BOWMANVIL,Canada,Ontario
Busch Gardens Tampa Bay,BUSCH TAM,United States,Florida
Calif. Fish & Game (San Diego),CA FG SD,United States,California
"Calgary Zoo, Garden & Prehistoric Park",CALGARY,Canada,Alberta
Chicago Zoological Park / Brookfield Zoo,CHICAGOBR,United States,Illinois
Lincoln Park Zoological Gardens,CHICAGOLP,United States,Illinois
Cincinnati Zoo & Botanical Garden,CINCINNAT,United States,Ohio
Cleveland Metroparks Zoo,CLEVELAND,United States,Ohio
Columbus Zoo and Aquarium,COLUMBUS,United States,Ohio
Crystal Garden Conservation Center (extinct 2004),CRYSTAL G,Canada,British Columbia
Duke Lemur Center,DUKE PRIM,"United
States",North Carolina
Lake Superior Zoological Gardens,DULUTH,United States,Minnesota
El Paso Zoo,EL PASO,United States,Texas
Mesker Park Zoo,EVANSVLLE,United States,Indiana
"International Animal Exchange, Inc.",FERNDALE,United States,Michigan
Helena Fitch-Snyder (extinct),FITCH H,United States,California
"Zoo-Forss (Ingvar Forss) (extinct
1985)",FORSS,Denmark,Denmark
Zoologischer Garten Frankfurt,FRANKFURT,Germany,Germany
Lee Richardson Zoo,GARDENCT Y,United States,Kansas
Zoo de Granby,GRANBY,Canada,Quebec
"ZooAmerica (No. American
Wildlife Pk.)",HERSHEY,"United
States",Pennsylvania
Utah's Hogle Zoo,HOGLE,United States,Utah
Honolulu Zoo,HONOLULU,"United
States",Hawaii
"Houston Zoo, Inc.",HOUSTON,United States,Texas
Indian River Reptile Zoo,IND RIV R,Canada,Ontario
Universität Zürich-Irchel Anthropologisches Institut und Museum,IRCHEL,Switzerland,Switzerland
Cologne Zoo,KOLN,Germany,Germany
Mountain View Conservation & Breeding,LANGLEY,Canada,British Columbia
Little Rock Zoological Gardens,LITTLEROC,"United
States",Arkansas
Los Angeles Zoo & Botanical Gardens,LOSANGELE,United States,California
Memphis Zoological Garden & Aquarium,MEMPHIS,United States,Tennessee
Minnesota Zoological Garden,MINNESOTA,United States,Minnesota
Aquarium & Rainforest at Moody Gardens,MOODY,United States,Texas
Moscow Zoological Park,MOSCOW,Russian Federation,Russia
Lemur Conservation Foundation,MYAKKACLR,United States,Florida
Bronx Zoo/Wildlife Conservation Society,NY BRONX,United States,New York
OASES (John Creviston),OASES,Canada,British Columbia
Omaha's Henry Doorly Zoo,OMAHA,"United
States",Nebraska
Paignton Zoo Environmental Park,PAIGNTON,United Kingdom,United Kingdom
Philadelphia Zoo,PHILADELP,United States,Pennsylvania
Ogrod Zoologiczny w Poznaniu,POZNAN,Poland,Poland
Prospect Park Zoo,PROSPECTP,United States,New York
General Public,PUBLIC,Undetermined,Undetermined
Pueblo Zoo,PUEBLO,"United
States",Colorado
Jardin Zoologique du Quebec (extinct),QUEBEC,Canada,Quebec
Santa Barbara Zoological Gardens,S BARBARA,"United
States",California
San Francisco Zoological Gardens,SAN FRAN,"United
States",California
San Diego Zoo,SANDIEGOZ,United States,California
San Diego Zoo Safari Park,SD-WAP,"United
States",California
Woodland Park Zoo,SEATTLE,United States,Washington
Shaldon Wildlife Trust,SHALDON,United Kingdom,United Kingdom
Skansen Akvariet,SKANAKV,Sweden,Sweden
Saint Louis Zoological Park,ST LOUIS,United States,Missouri
Taipei Zoo,TAIPEI,Taiwan,Taiwan
Toronto Zoo,TORONTO,Canada,Ontario
Undetermined Location,UNDETERMI,Undetermined,Undetermined
US Fish and Wildlife Service [General],USFWS,United States,Undetermined
Miejski Ogrod Zoologiczny Warsaw,WARSAW,Poland,Poland
Oglebay's Good Children's Zoo,WHEELING,United States,West Virginia
SWITZRLND: Invalid use of GeoRef,"SWITZRLND:
Invalid use of GeoRef",Switzerland,Switzerland
US Dept of the Interior (USDI),USDI,United States,Undetermined
Wildlife World Zoo,WILD WRLD,United States,Arizona
Worldwide Primates (Matt Block),WORLDWIDE,United States,Florida
Akron Zoological Park,AKRON,United States,Ohio
"Aquarium & Rainforest at Moody
Gardens",MOODY,United States,Texas
Bronx Zoo/Wildlife Conservation Society,NY BRONX,United States,New York
Cincinnati Zoo & Botanical Garden,CINCINNAT,United States,Ohio
Cleveland Metroparks Zoo,CLEVELAND,United States,Ohio
Columbus Zoo and Aquarium,COLUMBUS,United States,Ohio
El Paso Zoo,EL PASO,United States,Texas
Lake Superior Zoological Gardens,DULUTH,United States,Minnesota
Lee Richardson Zoo,GARDENCTY,United States,Kansas
Lincoln Park Zoological Gardens,CHICAGOLP,United States,Illinois
Little Rock Zoological Gardens,LITTLEROC,United States,Arkansas
Memphis Zoological Garden & Aquarium,MEMPHIS,United States,Tennessee
Mesker Park Zoo,EVANSVLLE,United States,Indiana
Miller Park Zoo,BLOOMINGT,United States,Illinois
Milwaukee County Zoological Gardens,MILWAUKEE,United States,Wisconsin
Omaha's Henry Doorly Zoo,OMAHA,United States,Nebraska
Philadelphia Zoo,PHILADELP,United States,Pennsylvania
Pueblo Zoo,PUEBLO,United States,Colorado
Smithsonian National Zoological Park,NZP-WASH,United States,District of Columbia
Turtle Back Zoo,W ORANGE,United States,New Jersey
Wild,VietNam,Vietnam,Vietnam
Wild,Asia,Asia,Asia
Wild,LaoPeoplesDemocraticRepublic,Laos,Laos
Wild,Thailand,Thailand,Thailand